date,product_name,stock,price,day_of_week,is_weekend,demand
2025-11-18,ginger100g,449,796,1,0,7
2025-11-19,Rice 26kg,292,839,2,0,5
2025-11-19,Sugar,144,215,2,0,13
2025-11-19,Milk 1L,210,586,2,0,22
2025-11-19,Bread,30,492,2,0,14
2025-11-19,Eggs 12pk,244,497,2,0,20
2025-11-19,Cooking Oil 5L,434,531,2,0,6
2025-11-19,Dal 1kg,329,238,2,0,10
2025-11-19,Salt 1kg,136,613,2,0,6
2025-11-19,Tea 500g,439,618,2,0,15
2025-11-19,Coffee 200g,293,747,2,0,6
2025-11-19,greenchilli-100g,203,177,2,0,22
2025-11-19,Redchilli-50g,225,970,2,0,7
2025-11-19,GaramMasala,207,414,2,0,7
2025-11-19,Curd-200g,289,471,2,0,10
2025-11-19,garlic100g,11,601,2,0,8
2025-11-19,ginger100g,21,75,2,0,17
2025-11-20,Rice 26kg,435,955,3,0,3
2025-11-20,Sugar,241,891,3,0,10
2025-11-20,Milk 1L,460,383,3,0,23
2025-11-20,Bread,487,147,3,0,13
2025-11-20,Eggs 12pk,326,817,3,0,13
2025-11-20,Cooking Oil 5L,491,703,3,0,6
2025-11-20,Dal 1kg,454,567,3,0,6
2025-11-20,Salt 1kg,214,304,3,0,9
2025-11-20,Tea 500g,241,77,3,0,9
2025-11-20,Coffee 200g,12,974,3,0,4
2025-11-20,greenchilli-100g,15,413,3,0,10
2025-11-20,Redchilli-50g,434,395,3,0,8
2025-11-20,GaramMasala,402,776,3,0,4
2025-11-20,Curd-200g,299,821,3,0,13
2025-11-20,garlic100g,209,605,3,0,7
2025-11-20,ginger100g,419,384,3,0,8
2025-11-21,Rice 26kg,206,594,4,0,3
2025-11-21,Sugar,196,368,4,0,10
2025-11-21,Milk 1L,338,819,4,0,20
2025-11-21,Bread,332,445,4,0,17
2025-11-21,Eggs 12pk,392,441,4,0,23
2025-11-21,Cooking Oil 5L,384,345,4,0,3
2025-11-21,Dal 1kg,410,826,4,0,9
2025-11-21,Salt 1kg,49,727,4,0,7
2025-11-21,Tea 500g,253,540,4,0,5
2025-11-21,Coffee 200g,113,459,4,0,10
2025-11-21,greenchilli-100g,77,651,4,0,19
2025-11-21,Redchilli-50g,474,435,4,0,8
2025-11-21,GaramMasala,11,863,4,0,7
2025-11-21,Curd-200g,332,367,4,0,19
2025-11-21,garlic100g,405,126,4,0,13
2025-11-21,ginger100g,487,236,4,0,9
2025-11-22,Rice 26kg,382,535,5,1,11
2025-11-22,Sugar,31,134,5,1,23
2025-11-22,Milk 1L,217,171,5,1,20
2025-11-22,Bread,296,854,5,1,19
2025-11-22,Eggs 12pk,77,68,5,1,28
2025-11-22,Cooking Oil 5L,168,756,5,1,11
2025-11-22,Dal 1kg,372,744,5,1,11
2025-11-22,Salt 1kg,373,903,5,1,13
2025-11-22,Tea 500g,108,999,5,1,16
2025-11-22,Coffee 200g,298,653,5,1,13
2025-11-22,greenchilli-100g,297,740,5,1,18
2025-11-22,Redchilli-50g,308,478,5,1,10
2025-11-22,GaramMasala,81,501,5,1,12
2025-11-22,Curd-200g,215,705,5,1,16
2025-11-22,garlic100g,81,96,5,1,7
2025-11-22,ginger100g,155,613,5,1,18
2025-11-23,Rice 26kg,151,205,6,1,11
2025-11-23,Sugar,311,196,6,1,22
2025-11-23,Milk 1L,93,268,6,1,29
2025-11-23,Bread,196,401,6,1,12
2025-11-23,Eggs 12pk,209,663,6,1,16
2025-11-23,Cooking Oil 5L,469,745,6,1,9
2025-11-23,Dal 1kg,287,122,6,1,15
2025-11-23,Salt 1kg,90,595,6,1,13
2025-11-23,Tea 500g,189,315,6,1,15
2025-11-23,Coffee 200g,108,423,6,1,13
2025-11-23,greenchilli-100g,65,236,6,1,32
2025-11-23,Redchilli-50g,489,841,6,1,16
2025-11-23,GaramMasala,492,452,6,1,11
2025-11-23,Curd-200g,28,592,6,1,15
2025-11-23,garlic100g,484,110,6,1,15
2025-11-23,ginger100g,253,817,6,1,16
2025-11-24,Rice 26kg,50,524,0,0,1
2025-11-24,Sugar,367,806,0,0,16
2025-11-24,Milk 1L,153,699,0,0,26
2025-11-24,Bread,322,824,0,0,19
2025-11-24,Eggs 12pk,303,841,0,0,21
2025-11-24,Cooking Oil 5L,14,960,0,0,5
2025-11-24,Dal 1kg,142,140,0,0,9
2025-11-24,Salt 1kg,235,606,0,0,4
2025-11-24,Tea 500g,407,115,0,0,7
2025-11-24,Coffee 200g,11,455,0,0,11
2025-11-24,greenchilli-100g,45,620,0,0,14
2025-11-24,Redchilli-50g,346,673,0,0,10
2025-11-24,GaramMasala,70,168,0,0,9
2025-11-24,Curd-200g,262,239,0,0,15
2025-11-24,garlic100g,326,547,0,0,11
2025-11-24,ginger100g,193,327,0,0,13
2025-11-25,Rice 26kg,65,347,1,0,3
2025-11-25,Sugar,117,72,1,0,13
2025-11-25,Milk 1L,437,906,1,0,19
2025-11-25,Bread,47,56,1,0,10
2025-11-25,Eggs 12pk,128,739,1,0,15
2025-11-25,Cooking Oil 5L,450,409,1,0,5
2025-11-25,Dal 1kg,368,254,1,0,12
2025-11-25,Salt 1kg,289,248,1,0,11
2025-11-25,Tea 500g,60,160,1,0,7
2025-11-25,Coffee 200g,384,291,1,0,8
2025-11-25,greenchilli-100g,77,256,1,0,17
2025-11-25,Redchilli-50g,44,741,1,0,7
2025-11-25,GaramMasala,222,586,1,0,4
2025-11-25,Curd-200g,321,418,1,0,18
2025-11-25,garlic100g,277,747,1,0,16
2025-11-25,ginger100g,334,673,1,0,9
2025-11-26,Rice 26kg,239,792,2,0,6
2025-11-26,Sugar,195,888,2,0,23
2025-11-26,Milk 1L,485,660,2,0,17
2025-11-26,Bread,396,254,2,0,12
2025-11-26,Eggs 12pk,313,791,2,0,11
2025-11-26,Cooking Oil 5L,15,91,2,0,4
2025-11-26,Dal 1kg,172,987,2,0,12
2025-11-26,Salt 1kg,313,303,2,0,11
2025-11-26,Tea 500g,417,399,2,0,11
2025-11-26,Coffee 200g,375,119,2,0,9
2025-11-26,greenchilli-100g,278,184,2,0,23
2025-11-26,Redchilli-50g,333,551,2,0,6
2025-11-26,GaramMasala,166,734,2,0,4
2025-11-26,Curd-200g,493,540,2,0,7
2025-11-26,garlic100g,395,684,2,0,7
2025-11-26,ginger100g,351,979,2,0,13
2025-11-27,Rice 26kg,364,736,3,0,8
2025-11-27,Sugar,491,589,3,0,23
2025-11-27,Milk 1L,423,746,3,0,25
2025-11-27,Bread,268,393,3,0,16
2025-11-27,Eggs 12pk,97,226,3,0,14
2025-11-27,Cooking Oil 5L,71,736,3,0,2
2025-11-27,Dal 1kg,379,254,3,0,15
2025-11-27,Salt 1kg,463,117,3,0,9
2025-11-27,Tea 500g,387,882,3,0,13
2025-11-27,Coffee 200g,275,290,3,0,9
2025-11-27,greenchilli-100g,259,54,3,0,21
2025-11-27,Redchilli-50g,83,547,3,0,11
2025-11-27,GaramMasala,80,482,3,0,9
2025-11-27,Curd-200g,168,409,3,0,9
2025-11-27,garlic100g,327,748,3,0,18
2025-11-27,ginger100g,97,669,3,0,10
2025-11-28,Rice 26kg,498,603,4,0,3
2025-11-28,Sugar,200,597,4,0,21
2025-11-28,Milk 1L,361,909,4,0,30
2025-11-28,Bread,215,141,4,0,22
2025-11-28,Eggs 12pk,240,931,4,0,7
2025-11-28,Cooking Oil 5L,173,166,4,0,5
2025-11-28,Dal 1kg,367,822,4,0,13
2025-11-28,Salt 1kg,412,856,4,0,7
2025-11-28,Tea 500g,34,833,4,0,10
2025-11-28,Coffee 200g,259,584,4,0,9
2025-11-28,greenchilli-100g,371,474,4,0,19
2025-11-28,Redchilli-50g,375,526,4,0,5
2025-11-28,GaramMasala,427,241,4,0,5
2025-11-28,Curd-200g,20,642,4,0,16
2025-11-28,garlic100g,437,983,4,0,14
2025-11-28,ginger100g,241,966,4,0,7
2025-11-29,Rice 26kg,95,559,5,1,4
2025-11-29,Sugar,103,70,5,1,18
2025-11-29,Milk 1L,49,222,5,1,19
2025-11-29,Bread,113,708,5,1,27
2025-11-29,Eggs 12pk,404,286,5,1,17
2025-11-29,Cooking Oil 5L,81,484,5,1,10
2025-11-29,Dal 1kg,479,685,5,1,16
2025-11-29,Salt 1kg,436,129,5,1,13
2025-11-29,Tea 500g,427,791,5,1,12
2025-11-29,Coffee 200g,282,767,5,1,18
2025-11-29,greenchilli-100g,35,501,5,1,12
2025-11-29,Redchilli-50g,74,824,5,1,7
2025-11-29,GaramMasala,167,219,5,1,12
2025-11-29,Curd-200g,76,196,5,1,24
2025-11-29,garlic100g,270,339,5,1,21
2025-11-29,ginger100g,408,396,5,1,19
2025-11-30,Rice 26kg,111,974,6,1,10
2025-11-30,Sugar,341,416,6,1,24
2025-11-30,Milk 1L,133,724,6,1,16
2025-11-30,Bread,339,784,6,1,16
2025-11-30,Eggs 12pk,445,893,6,1,23
2025-11-30,Cooking Oil 5L,83,269,6,1,8
2025-11-30,Dal 1kg,450,643,6,1,22
2025-11-30,Salt 1kg,185,949,6,1,10
2025-11-30,Tea 500g,35,424,6,1,13
2025-11-30,Coffee 200g,120,917,6,1,14
2025-11-30,greenchilli-100g,403,420,6,1,25
2025-11-30,Redchilli-50g,281,52,6,1,16
2025-11-30,GaramMasala,249,903,6,1,11
2025-11-30,Curd-200g,88,742,6,1,18
2025-11-30,garlic100g,123,588,6,1,8
2025-11-30,ginger100g,496,294,6,1,13
2025-12-01,Rice 26kg,324,336,0,0,5
2025-12-01,Sugar,470,388,0,0,22
2025-12-01,Milk 1L,183,496,0,0,20
2025-12-01,Bread,97,215,0,0,17
2025-12-01,Eggs 12pk,339,346,0,0,23
2025-12-01,Cooking Oil 5L,491,979,0,0,3
2025-12-01,Dal 1kg,78,898,0,0,7
2025-12-01,Salt 1kg,454,600,0,0,5
2025-12-01,Tea 500g,472,876,0,0,12
2025-12-01,Coffee 200g,301,904,0,0,10
2025-12-01,greenchilli-100g,417,322,0,0,8
2025-12-01,Redchilli-50g,479,258,0,0,11
2025-12-01,GaramMasala,349,270,0,0,7
2025-12-01,Curd-200g,285,224,0,0,8
2025-12-01,garlic100g,245,853,0,0,6
2025-12-01,ginger100g,392,253,0,0,15
2025-12-02,Rice 26kg,181,298,1,0,5
2025-12-02,Sugar,13,80,1,0,9
2025-12-02,Milk 1L,343,457,1,0,11
2025-12-02,Bread,24,375,1,0,12
2025-12-02,Eggs 12pk,355,786,1,0,7
2025-12-02,Cooking Oil 5L,389,800,1,0,1
2025-12-02,Dal 1kg,346,209,1,0,12
2025-12-02,Salt 1kg,99,945,1,0,10
2025-12-02,Tea 500g,183,359,1,0,10
2025-12-02,Coffee 200g,231,345,1,0,7
2025-12-02,greenchilli-100g,495,797,1,0,16
2025-12-02,Redchilli-50g,243,144,1,0,5
2025-12-02,GaramMasala,396,364,1,0,8
2025-12-02,Curd-200g,428,744,1,0,10
2025-12-02,garlic100g,476,856,1,0,8
2025-12-02,ginger100g,224,102,1,0,7
2025-12-03,Rice 26kg,416,203,2,0,7
2025-12-03,Sugar,162,142,2,0,12
2025-12-03,Milk 1L,106,523,2,0,24
2025-12-03,Bread,79,692,2,0,13
2025-12-03,Eggs 12pk,452,501,2,0,22
2025-12-03,Cooking Oil 5L,371,279,2,0,2
2025-12-03,Dal 1kg,187,924,2,0,10
2025-12-03,Salt 1kg,291,234,2,0,6
2025-12-03,Tea 500g,36,363,2,0,13
2025-12-03,Coffee 200g,315,472,2,0,7
2025-12-03,greenchilli-100g,318,798,2,0,20
2025-12-03,Redchilli-50g,79,944,2,0,11
2025-12-03,GaramMasala,192,737,2,0,8
2025-12-03,Curd-200g,286,718,2,0,8
2025-12-03,garlic100g,376,400,2,0,14
2025-12-03,ginger100g,198,65,2,0,14
2025-12-04,Rice 26kg,459,962,3,0,6
2025-12-04,Sugar,178,538,3,0,16
2025-12-04,Milk 1L,17,268,3,0,30
2025-12-04,Bread,450,721,3,0,16
2025-12-04,Eggs 12pk,347,948,3,0,15
2025-12-04,Cooking Oil 5L,413,51,3,0,5
2025-12-04,Dal 1kg,324,267,3,0,8
2025-12-04,Salt 1kg,152,129,3,0,9
2025-12-04,Tea 500g,225,463,3,0,10
2025-12-04,Coffee 200g,198,305,3,0,9
2025-12-04,greenchilli-100g,468,542,3,0,19
2025-12-04,Redchilli-50g,418,271,3,0,12
2025-12-04,GaramMasala,116,138,3,0,10
2025-12-04,Curd-200g,58,771,3,0,12
2025-12-04,garlic100g,375,842,3,0,18
2025-12-04,ginger100g,38,457,3,0,16
2025-12-05,Rice 26kg,64,800,4,0,4
2025-12-05,Sugar,164,618,4,0,15
2025-12-05,Milk 1L,95,871,4,0,28
2025-12-05,Bread,485,264,4,0,10
2025-12-05,Eggs 12pk,86,467,4,0,19
2025-12-05,Cooking Oil 5L,207,555,4,0,4
2025-12-05,Dal 1kg,418,621,4,0,13
2025-12-05,Salt 1kg,112,188,4,0,7
2025-12-05,Tea 500g,461,564,4,0,6
2025-12-05,Coffee 200g,377,52,4,0,9
2025-12-05,greenchilli-100g,220,675,4,0,21
2025-12-05,Redchilli-50g,36,832,4,0,6
2025-12-05,GaramMasala,308,909,4,0,4
2025-12-05,Curd-200g,427,434,4,0,9
2025-12-05,garlic100g,199,921,4,0,10
2025-12-05,ginger100g,112,178,4,0,13
2025-12-06,Rice 26kg,268,465,5,1,4
2025-12-06,Sugar,190,112,5,1,18
2025-12-06,Milk 1L,212,103,5,1,20
2025-12-06,Bread,367,885,5,1,16
2025-12-06,Eggs 12pk,276,587,5,1,27
2025-12-06,Cooking Oil 5L,87,364,5,1,12
2025-12-06,Dal 1kg,437,852,5,1,16
2025-12-06,Salt 1kg,48,654,5,1,9
2025-12-06,Tea 500g,497,816,5,1,18
2025-12-06,Coffee 200g,270,744,5,1,11
2025-12-06,greenchilli-100g,139,893,5,1,28
2025-12-06,Redchilli-50g,125,394,5,1,19
2025-12-06,GaramMasala,494,1000,5,1,9
2025-12-06,Curd-200g,116,469,5,1,15
2025-12-06,garlic100g,385,539,5,1,21
2025-12-06,ginger100g,395,805,5,1,15
2025-12-07,Rice 26kg,252,419,6,1,7
2025-12-07,Sugar,406,83,6,1,20
2025-12-07,Milk 1L,367,98,6,1,19
2025-12-07,Bread,240,84,6,1,24
2025-12-07,Eggs 12pk,500,795,6,1,14
2025-12-07,Cooking Oil 5L,477,980,6,1,14
2025-12-07,Dal 1kg,415,371,6,1,16
2025-12-07,Salt 1kg,447,416,6,1,10
2025-12-07,Tea 500g,211,416,6,1,18
2025-12-07,Coffee 200g,29,592,6,1,13
2025-12-07,greenchilli-100g,49,75,6,1,25
2025-12-07,Redchilli-50g,23,438,6,1,16
2025-12-07,GaramMasala,303,841,6,1,14
2025-12-07,Curd-200g,302,395,6,1,21
2025-12-07,garlic100g,139,744,6,1,16
2025-12-07,ginger100g,437,434,6,1,12
2025-12-08,Rice 26kg,228,628,0,0,2
2025-12-08,Sugar,294,805,0,0,9
2025-12-08,Milk 1L,261,94,0,0,13
2025-12-08,Bread,323,954,0,0,20
2025-12-08,Eggs 12pk,387,517,0,0,19
2025-12-08,Cooking Oil 5L,163,539,0,0,5
2025-12-08,Dal 1kg,99,471,0,0,17
2025-12-08,Salt 1kg,24,711,0,0,5
2025-12-08,Tea 500g,278,189,0,0,11
2025-12-08,Coffee 200g,49,293,0,0,12
2025-12-08,greenchilli-100g,57,818,0,0,19
2025-12-08,Redchilli-50g,74,101,0,0,6
2025-12-08,GaramMasala,331,118,0,0,5
2025-12-08,Curd-200g,201,64,0,0,18
2025-12-08,garlic100g,363,443,0,0,13
2025-12-08,ginger100g,308,874,0,0,13
2025-12-09,Rice 26kg,367,651,1,0,3
2025-12-09,Sugar,273,523,1,0,10
2025-12-09,Milk 1L,174,426,1,0,14
2025-12-09,Bread,134,694,1,0,15
2025-12-09,Eggs 12pk,251,967,1,0,10
2025-12-09,Cooking Oil 5L,466,764,1,0,1
2025-12-09,Dal 1kg,151,301,1,0,17
2025-12-09,Salt 1kg,165,582,1,0,9
2025-12-09,Tea 500g,413,447,1,0,10
2025-12-09,Coffee 200g,390,540,1,0,9
2025-12-09,greenchilli-100g,492,740,1,0,11
2025-12-09,Redchilli-50g,103,911,1,0,2
2025-12-09,GaramMasala,188,915,1,0,8
2025-12-09,Curd-200g,103,538,1,0,9
2025-12-09,garlic100g,296,222,1,0,9
2025-12-09,ginger100g,185,366,1,0,10
2025-12-10,Rice 26kg,12,792,2,0,6
2025-12-10,Sugar,360,220,2,0,13
2025-12-10,Milk 1L,430,349,2,0,28
2025-12-10,Bread,248,807,2,0,9
2025-12-10,Eggs 12pk,269,583,2,0,21
2025-12-10,Cooking Oil 5L,387,632,2,0,6
2025-12-10,Dal 1kg,346,598,2,0,10
2025-12-10,Salt 1kg,249,156,2,0,7
2025-12-10,Tea 500g,72,470,2,0,5
2025-12-10,Coffee 200g,39,792,2,0,5
2025-12-10,greenchilli-100g,252,452,2,0,26
2025-12-10,Redchilli-50g,305,653,2,0,10
2025-12-10,GaramMasala,493,626,2,0,2
2025-12-10,Curd-200g,260,864,2,0,16
2025-12-10,garlic100g,84,158,2,0,10
2025-12-10,ginger100g,472,82,2,0,10
2025-12-11,Rice 26kg,289,277,3,0,7
2025-12-11,Sugar,485,310,3,0,23
2025-12-11,Milk 1L,395,305,3,0,23
2025-12-11,Bread,207,906,3,0,21
2025-12-11,Eggs 12pk,114,909,3,0,24
2025-12-11,Cooking Oil 5L,208,729,3,0,2
2025-12-11,Dal 1kg,142,184,3,0,7
2025-12-11,Salt 1kg,327,902,3,0,12
2025-12-11,Tea 500g,360,986,3,0,12
2025-12-11,Coffee 200g,373,414,3,0,10
2025-12-11,greenchilli-100g,431,150,3,0,14
2025-12-11,Redchilli-50g,177,436,3,0,11
2025-12-11,GaramMasala,399,383,3,0,8
2025-12-11,Curd-200g,266,421,3,0,14
2025-12-11,garlic100g,339,459,3,0,17
2025-12-11,ginger100g,15,373,3,0,12
2025-12-12,Rice 26kg,420,231,4,0,4
2025-12-12,Sugar,29,745,4,0,19
2025-12-12,Milk 1L,430,73,4,0,28
2025-12-12,Bread,300,98,4,0,18
2025-12-12,Eggs 12pk,117,130,4,0,19
2025-12-12,Cooking Oil 5L,30,523,4,0,5
2025-12-12,Dal 1kg,125,166,4,0,11
2025-12-12,Salt 1kg,204,755,4,0,7
2025-12-12,Tea 500g,93,470,4,0,13
2025-12-12,Coffee 200g,264,100,4,0,9
2025-12-12,greenchilli-100g,449,346,4,0,17
2025-12-12,Redchilli-50g,412,654,4,0,7
2025-12-12,GaramMasala,84,389,4,0,2
2025-12-12,Curd-200g,253,929,4,0,18
2025-12-12,garlic100g,232,400,4,0,13
2025-12-12,ginger100g,173,454,4,0,17
2025-12-13,Rice 26kg,112,736,5,1,6
2025-12-13,Sugar,84,611,5,1,21
2025-12-13,Milk 1L,189,554,5,1,19
2025-12-13,Bread,219,260,5,1,19
2025-12-13,Eggs 12pk,180,121,5,1,14
2025-12-13,Cooking Oil 5L,328,75,5,1,12
2025-12-13,Dal 1kg,22,235,5,1,14
2025-12-13,Salt 1kg,362,73,5,1,12
2025-12-13,Tea 500g,176,498,5,1,20
2025-12-13,Coffee 200g,397,81,5,1,5
